Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,PRIM,0,761,150075,221190,35701,221189,1703,1703
RIGHT HAND RULE,PRIM,0,761,126151,83143,26567,164582,1703,1703
BFS,HUNT_AND_KILL,0,761,144954,215671,42107,215670,1859,1859
RIGHT HAND RULE,HUNT_AND_KILL,0,761,421813,262031,102915,522202,1859,1859
BFS,RECURSIVE_DIVISION,0,761,217711,319727,10904,319726,21265,21265
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,216039,171081,11966,248596,24881,21265
BFS,DFS,0,761,55652,76151,19319,76150,17167,17167
RIGHT HAND RULE,DFS,0,761,73369,56551,23809,95934,17167,17167
BFS,PRIM,0,761,194217,288553,46655,288552,1783,1783
RIGHT HAND RULE,PRIM,0,761,135134,88849,28471,175914,1783,1783
BFS,HUNT_AND_KILL,0,761,153327,223596,43710,223595,1611,1611
RIGHT HAND RULE,HUNT_AND_KILL,0,761,206749,134389,52469,267166,1611,1611
BFS,RECURSIVE_DIVISION,0,761,138959,200904,6811,200903,13333,13333
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,119595,102548,7106,149962,15653,13333
BFS,DFS,0,761,117895,171393,43129,171392,32511,32511
RIGHT HAND RULE,DFS,0,761,233058,165527,74342,298542,32511,32511
BFS,PRIM,0,761,184776,272602,44153,272601,1627,1627
RIGHT HAND RULE,PRIM,0,761,174688,113251,36431,224874,1627,1627
BFS,HUNT_AND_KILL,0,761,171711,252353,49394,252352,1751,1751
RIGHT HAND RULE,HUNT_AND_KILL,0,761,353937,224403,87965,447054,1751,1751
BFS,RECURSIVE_DIVISION,0,761,227552,335687,11773,335686,17865,17865
RIGHT HAND RULE,RECURSIVE_DIVISION,0,761,178647,143273,10179,208024,20961,17865
BFS,DFS,0,761,174588,255406,63850,255405,36839,36839
RIGHT HAND RULE,DFS,0,761,226472,164455,72869,292070,36839,36839
BFS,PRIM,0,761,162826,240507,38935,240506,1763,1763
RIGHT HAND RULE,PRIM,0,761,317678,200757,65311,399750,1763,1763
BFS,HUNT_AND_KILL,0,761,181382,266201,52150,266200,1691,1691
RIGHT HAND RULE,HUNT_AND_KILL,0,761,285369,182075,71308,362458,1691,1691
